               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11399,             0.12558,            0.068207,          0.00062155,           0.0088762,          0.00031637,           6.206e-05,             0.11228,             0.10063,            0.070471,            0.070145,           0.0033172,           0.0033172
                   1,             0.10533,             0.11835,            0.063892,           0.0098492,            0.044185,           0.0078297,            0.002147,            0.092733,            0.081678,            0.059456,            0.040079,           0.0065847,           0.0065847
                   2,            0.080894,            0.095986,              0.0587,             0.36061,             0.16085,            0.060199,             0.01808,            0.071475,            0.071793,            0.055175,           0.0099472,           0.0097862,           0.0097862
                   3,              0.0671,            0.091292,            0.057117,             0.37767,             0.35561,             0.12143,            0.054649,            0.051017,            0.065799,            0.052476,            0.009703,            0.009703,            0.009703
                   4,             0.05797,            0.084361,            0.055864,             0.35538,              0.3995,             0.18041,            0.092312,            0.042075,            0.057425,            0.050455,            0.009703,            0.009703,            0.009703
                   5,            0.052505,            0.080336,            0.053982,             0.28631,             0.40441,             0.22434,             0.11643,            0.038091,            0.055762,            0.047733,            0.009604,            0.009604,            0.009604
                   6,            0.048433,            0.076185,            0.051318,             0.33012,             0.45809,             0.26681,             0.14126,            0.034572,            0.050672,            0.045805,            0.009505,            0.009505,            0.009505
                   7,              0.0453,            0.072202,            0.049065,             0.42299,             0.40005,             0.29347,             0.17087,             0.03306,            0.048284,            0.043201,            0.009406,            0.009406,            0.009406
                   8,             0.04356,            0.070133,            0.047174,             0.60644,             0.35914,             0.29414,             0.15997,            0.033259,            0.048856,            0.042037,            0.009307,            0.009307,            0.009307
                   9,             0.04183,            0.067961,            0.045956,             0.62708,             0.38904,             0.32378,             0.20632,             0.02845,            0.044747,            0.040352,            0.009208,            0.009208,            0.009208
                  10,            0.039952,            0.065949,            0.044836,             0.63881,             0.40086,             0.33215,             0.21238,            0.027933,            0.043734,            0.039553,            0.009109,            0.009109,            0.009109
                  11,            0.039113,            0.064585,             0.04395,             0.38064,             0.63077,             0.36249,             0.23727,            0.025849,            0.041703,            0.038639,             0.00901,             0.00901,             0.00901
                  12,            0.037853,            0.063747,            0.042863,             0.26769,             0.66738,              0.3744,             0.24518,            0.025464,            0.041361,            0.037778,            0.008911,            0.008911,            0.008911
                  13,             0.03702,            0.062593,            0.042238,             0.30661,             0.70516,              0.3896,              0.2171,            0.030955,            0.043411,            0.037055,            0.008812,            0.008812,            0.008812
                  14,            0.036885,            0.061906,            0.041379,             0.30949,             0.74062,              0.4057,             0.28922,            0.023327,              0.0391,            0.036121,            0.008713,            0.008713,            0.008713
                  15,            0.035757,            0.061073,            0.040641,             0.31026,             0.74508,             0.40999,              0.2863,            0.022928,             0.03919,            0.035389,            0.008614,            0.008614,            0.008614
                  16,            0.035562,            0.060518,            0.039362,             0.32746,              0.7416,             0.42071,             0.30394,            0.023716,            0.039799,            0.033578,            0.008515,            0.008515,            0.008515
                  17,            0.035393,            0.059965,            0.037421,             0.35516,             0.74655,             0.45486,             0.31319,            0.025098,            0.039422,            0.030354,            0.008416,            0.008416,            0.008416
                  18,            0.035005,            0.060022,            0.035011,              0.3707,             0.77455,             0.50453,             0.37538,            0.021894,            0.037117,            0.027145,            0.008317,            0.008317,            0.008317
                  19,              0.0345,            0.059002,            0.033342,             0.39941,             0.80637,             0.55569,             0.41909,            0.021238,            0.037066,            0.025311,            0.008218,            0.008218,            0.008218
                  20,            0.035179,            0.058818,            0.030905,             0.42587,             0.77362,             0.60724,             0.44419,            0.024921,            0.037818,            0.022585,            0.008119,            0.008119,            0.008119
                  21,            0.034485,            0.058322,            0.027917,             0.49067,             0.77918,             0.65861,             0.50455,            0.021118,            0.036106,            0.019129,             0.00802,             0.00802,             0.00802
                  22,            0.034155,            0.057452,            0.025102,              0.5667,             0.79197,              0.7462,             0.56193,            0.023363,            0.036615,             0.01732,            0.007921,            0.007921,            0.007921
                  23,            0.033707,             0.05835,            0.023304,             0.61966,             0.80293,             0.80935,             0.61031,            0.021175,            0.036378,            0.015395,            0.007822,            0.007822,            0.007822
                  24,            0.034033,             0.05822,            0.021789,             0.72195,             0.82551,             0.86959,             0.66896,            0.020156,            0.035654,            0.013721,            0.007723,            0.007723,            0.007723
                  25,            0.033302,            0.056858,            0.020503,             0.75498,             0.84349,             0.88473,             0.66891,             0.02064,            0.036397,            0.012757,            0.007624,            0.007624,            0.007624
                  26,            0.033313,            0.056808,            0.019274,             0.78891,             0.88382,             0.90847,             0.70287,            0.019474,            0.035203,            0.011392,            0.007525,            0.007525,            0.007525
