               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1138,             0.12635,            0.068372,           0.0010807,            0.016077,          0.00056582,           0.0001133,             0.10356,             0.11607,            0.066036,            0.070137,           0.0033181,           0.0033181
                   1,              0.1034,             0.11449,            0.063274,            0.021172,             0.21054,            0.020496,           0.0057141,            0.084795,            0.086235,             0.05711,            0.040082,           0.0065966,           0.0065966
                   2,            0.079266,             0.09611,            0.058613,            0.044239,             0.28187,            0.048244,            0.014577,            0.069097,            0.070968,            0.054569,           0.0099722,             0.00982,             0.00982
                   3,            0.064985,            0.089226,            0.056672,             0.33592,             0.33165,             0.15649,            0.072432,            0.048326,            0.061287,            0.051333,           0.0097525,           0.0097525,           0.0097525
                   4,            0.055611,            0.082937,            0.054381,             0.23852,             0.45563,             0.22257,             0.10665,            0.040143,            0.056227,            0.047864,           0.0097525,           0.0097525,           0.0097525
                   5,            0.051021,            0.077943,            0.050862,             0.19866,             0.53289,             0.31662,             0.17148,             0.03686,            0.052244,            0.044313,             0.00967,             0.00967,             0.00967
                   6,            0.047766,            0.074114,            0.047148,             0.21093,              0.5587,             0.37808,             0.21866,            0.036435,            0.050902,            0.039976,           0.0095875,           0.0095875,           0.0095875
                   7,            0.045376,            0.071574,            0.042184,             0.36562,              0.5138,             0.45237,             0.27503,            0.031515,            0.048824,            0.032798,            0.009505,            0.009505,            0.009505
                   8,            0.044418,            0.069194,            0.036141,             0.31848,             0.67013,             0.51049,             0.29698,            0.032743,            0.048481,            0.027386,           0.0094225,           0.0094225,           0.0094225
                   9,             0.04313,            0.068005,            0.032284,             0.36511,             0.69914,             0.57977,             0.38171,            0.030798,            0.043932,            0.022796,             0.00934,             0.00934,             0.00934
                  10,            0.041566,             0.06566,             0.02928,             0.39455,             0.73524,              0.6179,             0.38582,            0.030374,            0.044592,            0.021196,           0.0092575,           0.0092575,           0.0092575
                  11,            0.040802,             0.06516,            0.027348,             0.42799,             0.71269,             0.61483,             0.40603,            0.028868,            0.045469,            0.020047,            0.009175,            0.009175,            0.009175
                  12,            0.039858,             0.06468,            0.026282,             0.46722,             0.77562,             0.66595,             0.44142,            0.027408,            0.041496,            0.018729,           0.0090925,           0.0090925,           0.0090925
                  13,            0.039267,            0.063074,             0.02424,             0.54509,             0.80325,             0.71273,             0.50206,            0.025491,            0.040812,            0.017116,             0.00901,             0.00901,             0.00901
                  14,            0.037811,            0.063371,            0.022902,             0.58816,             0.81898,             0.73877,             0.52461,            0.024183,            0.041325,            0.016526,           0.0089275,           0.0089275,           0.0089275
                  15,            0.037346,             0.06121,            0.022058,             0.62814,             0.82929,             0.77647,             0.56379,            0.023897,            0.040146,            0.014567,            0.008845,            0.008845,            0.008845
                  16,            0.037164,            0.061364,            0.020922,             0.66941,             0.85423,             0.80054,             0.58986,            0.024774,            0.039215,             0.01333,           0.0087625,           0.0087625,           0.0087625
                  17,            0.036454,            0.060884,            0.020397,              0.6934,             0.85775,             0.79766,             0.59998,            0.022538,            0.038301,            0.012939,             0.00868,             0.00868,             0.00868
                  18,            0.035793,             0.05985,            0.019353,             0.73457,             0.87132,              0.8534,              0.6249,            0.022499,            0.038128,             0.01202,           0.0085975,           0.0085975,           0.0085975
                  19,            0.035001,            0.058342,            0.018537,             0.74982,             0.86298,             0.86373,             0.65282,            0.022012,            0.036813,            0.011304,            0.008515,            0.008515,            0.008515
                  20,            0.034581,            0.057739,            0.017724,             0.79425,             0.87849,             0.88675,             0.66936,            0.022529,            0.037205,            0.011118,           0.0084325,           0.0084325,           0.0084325
                  21,            0.033906,            0.056365,            0.017038,              0.8238,             0.87156,             0.88769,              0.6754,            0.021466,            0.037409,            0.010869,             0.00835,             0.00835,             0.00835
                  22,            0.034012,            0.057741,            0.016686,             0.85301,             0.87114,              0.9122,             0.69902,            0.021055,            0.036217,           0.0098202,           0.0082675,           0.0082675,           0.0082675
                  23,            0.033464,            0.056274,            0.015878,             0.88751,             0.89202,             0.93142,             0.71038,            0.021143,            0.035314,            0.009185,            0.008185,            0.008185,            0.008185
                  24,            0.032977,            0.056168,            0.015575,             0.89294,             0.89594,             0.93909,              0.7316,            0.019586,            0.034802,           0.0089208,           0.0081025,           0.0081025,           0.0081025
                  25,            0.032564,            0.055967,            0.015137,             0.89104,             0.90299,             0.93976,             0.74859,            0.019156,            0.034415,           0.0085358,             0.00802,             0.00802,             0.00802
                  26,            0.032045,            0.055255,            0.014947,             0.89607,             0.88786,              0.9402,             0.73656,             0.02004,            0.034233,           0.0081644,           0.0079375,           0.0079375,           0.0079375
                  27,            0.031706,            0.053667,            0.014591,             0.92286,             0.91029,             0.95959,             0.75131,            0.019292,            0.034917,           0.0078982,            0.007855,            0.007855,            0.007855
                  28,            0.031935,            0.054466,            0.013806,             0.92908,             0.92818,              0.9636,             0.76248,            0.019498,            0.033932,           0.0072589,           0.0077725,           0.0077725,           0.0077725
                  29,            0.031417,            0.054667,             0.01356,             0.93708,             0.92626,             0.96648,             0.77103,            0.018542,            0.033768,           0.0071038,             0.00769,             0.00769,             0.00769
                  30,            0.031363,            0.053739,            0.013222,             0.94941,             0.92878,              0.9723,             0.77874,             0.01768,            0.033014,           0.0067634,           0.0076075,           0.0076075,           0.0076075
                  31,            0.030297,            0.053389,            0.012767,             0.94544,             0.93336,             0.97064,              0.7869,            0.018018,            0.032866,           0.0072205,            0.007525,            0.007525,            0.007525
                  32,            0.030291,            0.052376,            0.012534,             0.96234,             0.93676,             0.97692,             0.78757,            0.018099,            0.033188,           0.0058937,           0.0074425,           0.0074425,           0.0074425
                  33,            0.030441,            0.053505,            0.012534,             0.96057,              0.9479,             0.98041,             0.79563,            0.017908,            0.032942,           0.0058767,             0.00736,             0.00736,             0.00736
                  34,            0.029867,            0.052824,            0.011804,             0.96949,             0.95356,             0.98299,             0.80088,            0.017213,            0.032365,           0.0055537,           0.0072775,           0.0072775,           0.0072775
                  35,            0.029351,            0.051604,            0.011635,             0.96404,             0.95198,             0.98264,             0.79961,              0.0177,            0.032352,           0.0054778,            0.007195,            0.007195,            0.007195
                  36,            0.029612,            0.052328,            0.011179,               0.972,             0.96023,             0.98625,             0.80583,            0.016936,            0.032165,           0.0053087,           0.0071125,           0.0071125,           0.0071125
                  37,             0.02953,            0.051896,            0.011181,             0.97241,             0.95913,              0.9846,             0.81042,            0.017264,             0.03193,           0.0051595,             0.00703,             0.00703,             0.00703
                  38,            0.028691,            0.051439,            0.010788,             0.97396,              0.9574,             0.98578,             0.81601,            0.016487,            0.031667,           0.0051721,           0.0069475,           0.0069475,           0.0069475
                  39,            0.028619,            0.050564,            0.010621,             0.97137,             0.96219,             0.98641,             0.81219,            0.016947,            0.031979,           0.0048207,            0.006865,            0.006865,            0.006865
                  40,            0.028583,            0.050987,            0.010465,             0.97729,             0.96119,             0.98697,             0.80572,            0.017023,            0.031765,           0.0045972,           0.0067825,           0.0067825,           0.0067825
                  41,            0.028376,            0.050247,            0.010307,             0.97903,              0.9706,             0.98961,             0.82658,             0.01621,            0.030645,           0.0042517,              0.0067,              0.0067,              0.0067
                  42,            0.028385,            0.050476,            0.010252,             0.97526,             0.96501,             0.98675,             0.81513,             0.01661,            0.031706,           0.0044541,           0.0066175,           0.0066175,           0.0066175
                  43,            0.027886,            0.049776,            0.009695,             0.97937,             0.96825,              0.9885,             0.82136,            0.016514,            0.030613,           0.0041849,            0.006535,            0.006535,            0.006535
                  44,            0.027406,            0.049668,           0.0097466,             0.97995,             0.97142,             0.98913,             0.82264,            0.017027,            0.030688,           0.0040389,           0.0064525,           0.0064525,           0.0064525
                  45,            0.027571,            0.049222,           0.0095426,             0.98409,             0.97063,             0.98905,             0.82737,            0.015933,            0.030292,           0.0039942,             0.00637,             0.00637,             0.00637
                  46,            0.027062,            0.048853,           0.0094935,             0.98311,             0.97346,             0.98968,             0.82984,            0.015707,            0.030244,           0.0037559,           0.0062875,           0.0062875,           0.0062875
                  47,            0.027133,            0.048717,           0.0093253,              0.9745,             0.96795,             0.98808,             0.82335,             0.01559,            0.030425,           0.0041306,            0.006205,            0.006205,            0.006205
                  48,            0.026706,            0.048691,           0.0095055,             0.98384,             0.97414,             0.98969,             0.83102,            0.015338,            0.029745,           0.0036672,           0.0061225,           0.0061225,           0.0061225
                  49,            0.026712,            0.048064,           0.0089264,             0.98535,             0.97574,              0.9903,             0.83622,            0.015001,            0.029761,            0.003593,             0.00604,             0.00604,             0.00604
                  50,            0.026982,            0.048734,           0.0090275,             0.97888,             0.97665,              0.9902,              0.8304,             0.01542,            0.029901,             0.00357,           0.0059575,           0.0059575,           0.0059575
                  51,            0.026288,            0.047845,           0.0087011,             0.98266,             0.97229,             0.99047,             0.83689,            0.015194,            0.029658,           0.0035736,            0.005875,            0.005875,            0.005875
                  52,            0.026515,            0.047675,            0.008838,             0.98327,             0.97644,             0.99023,             0.84293,            0.015025,            0.029259,           0.0035696,           0.0057925,           0.0057925,           0.0057925
                  53,            0.025634,            0.047677,           0.0086092,             0.98448,             0.97432,             0.99032,             0.83939,            0.014948,            0.029684,           0.0035365,             0.00571,             0.00571,             0.00571
                  54,            0.025802,            0.047234,           0.0084552,             0.98428,             0.97602,             0.99017,             0.83987,            0.014744,            0.029273,           0.0033111,           0.0056275,           0.0056275,           0.0056275
                  55,             0.02569,            0.047519,           0.0083608,             0.98423,             0.97695,              0.9903,             0.84295,            0.014815,            0.029358,           0.0032806,            0.005545,            0.005545,            0.005545
                  56,            0.025361,            0.046405,           0.0081526,              0.9857,             0.97804,             0.99118,              0.8472,            0.014362,            0.028649,           0.0031533,           0.0054625,           0.0054625,           0.0054625
                  57,            0.025043,             0.04617,           0.0084693,             0.98281,             0.98028,             0.99092,             0.84506,            0.014838,            0.029138,           0.0031885,             0.00538,             0.00538,             0.00538
                  58,            0.025523,            0.047112,           0.0082415,             0.98672,             0.98036,             0.99126,             0.84676,              0.0146,            0.028837,           0.0030607,           0.0052975,           0.0052975,           0.0052975
                  59,            0.025216,             0.04645,           0.0081846,              0.9859,              0.9783,              0.9913,             0.84471,            0.014707,            0.028941,           0.0030997,            0.005215,            0.005215,            0.005215
